Country,Country,Generosity (2015),Generosity (2016),Generosity (2017),Generosity (2018),Generosity (2019),Average
0,Switzerland,0.29678,0.28083,0.290549278259277,0.256,0.263,0.2774318556518554
1,Iceland,0.4363,0.47678,0.475540220737457,0.353,0.354,0.4191240441474914
2,Denmark,0.34139,0.36171,0.355280488729477,0.284,0.252,0.3188760977458954
3,Norway,0.34699,0.37895,0.36201223731041,0.286,0.271,0.328990447462082
4,Canada,0.45811,0.44834,0.435539722442627,0.321,0.285,0.38959794448852536
5,Finland,0.23351,0.25492,0.24548277258873,0.202,0.153,0.217782554517746
6,Netherlands,0.4761,0.47416,0.470489829778671,0.333,0.322,0.4151499659557342
7,Sweden,0.36262,0.38254,0.385399252176285,0.285,0.267,0.336511850435257
8,New Zealand,0.47501,0.49401,0.500005125999451,0.365,0.33,0.43280502519989017
9,Australia,0.43562,0.47407,0.477699249982834,0.361,0.332,0.4160778499965668
10,Israel,0.33172,0.32288,0.330082654953003,0.354,0.261,0.3199365309906006
11,Costa Rica,0.25497,0.22553,0.214613229036331,0.143,0.144,0.1964226458072662
12,Austria,0.33088,0.32865,0.316472321748734,0.242,0.244,0.29240046434974676
13,Mexico,0.14074,0.11735,0.120990432798862,0.069,0.074,0.10441608655977239
14,United States,0.40105,0.41077,0.392578780651093,0.291,0.28,0.3550797561302186
15,Brazil,0.14574,0.15776,0.16234989464283,0.11,0.099,0.134969978928566
17,Ireland,0.45901,0.44963,0.42785832285881,0.307,0.298,0.38829966457176196
18,Belgium,0.2225,0.2424,0.231503337621689,0.188,0.16,0.20888066752433776
19,United Kingdom,0.51912,0.50156,0.492774158716202,0.262,0.348,0.4246908317432404
20,Venezuela,0.05841,0.0425,0.0650196298956871,0.056,0.064,0.05718592597913742
21,Singapore,0.31105,0.32706,0.345965981483459,0.261,0.271,0.30321519629669175
22,Panama,0.24434,0.2418,0.21055693924427,0.125,0.109,0.186139387848854
23,Germany,0.28214,0.30452,0.336269170045853,0.273,0.261,0.2913858340091706
24,Chile,0.33363,0.31595,0.326662421226501,0.197,0.187,0.27204848424530026
26,France,0.12332,0.1216,0.129762306809425,0.098,0.111,0.11673646136188501
27,Argentina,0.11451,0.10989,0.109457060694695,0.062,0.066,0.092371412138939
29,Uruguay,0.2324,0.18056,0.175096929073334,0.13,0.127,0.1690113858146668
30,Colombia,0.18401,0.15626,0.149014472961426,0.099,0.099,0.13745689459228522
31,Thailand,0.5763,0.58696,0.572123110294342,0.364,0.359,0.4916766220588684
32,Saudi Arabia,0.13706,0.15457,0.147616013884544,0.098,0.08,0.12344920277690878
33,Spain,0.18227,0.17665,0.190133571624756,0.142,0.153,0.1688107143249512
34,Malta,0.51752,0.56237,0.574730575084686,0.376,0.375,0.4811241150169372
36,El Salvador,0.10692,0.08877,0.0782579854130745,0.065,0.093,0.08638959708261491
38,Uzbekistan,0.22837,0.34326,0.415983647108078,0.328,0.322,0.3275227294216156
39,Slovakia,0.16893,0.13837,0.136544480919838,0.118,0.121,0.1365688961839676
40,Japan,0.10705,0.10224,0.12057276815176,0.079,0.069,0.09557255363035201
41,South Korea,0.18557,0.18824,0.206674367189407,0.175,0.175,0.1860968734378814
42,Ecuador,0.11541,0.10074,0.150112465023994,0.114,0.126,0.12125249300479882
43,Bahrain,0.17362,0.17147,0.172668486833572,0.243,0.255,0.2031516973667144
44,Italy,0.22823,0.16684,0.17278964817524,0.137,0.158,0.17257192963504803
45,Bolivia,0.20536,0.21698,0.22556072473526,0.141,0.137,0.18518014494705198
46,Moldova,0.20951,0.19997,0.208779126405716,0.171,0.181,0.19405182528114323
47,Paraguay,0.3424,0.25296,0.224150657653809,0.162,0.184,0.2331021315307618
48,Kazakhstan,0.11827,0.15011,0.201964423060417,0.148,0.146,0.15286888461208342
49,Slovenia,0.25328,0.25738,0.242649093270302,0.16,0.144,0.21146181865406039
50,Lithuania,0.02641,0.02025,0.010164656676352,0.026,0.043,0.025164931335270403
51,Nicaragua,0.27815,0.29773,0.301674216985703,0.208,0.2,0.2571108433971406
52,Peru,0.14982,0.14527,0.126819714903831,0.092,0.083,0.11938194298076618
54,Poland,0.16759,0.14443,0.158465966582298,0.108,0.117,0.1390971933164596
55,Malaysia,0.33075,0.41474,0.416608929634094,0.311,0.26,0.3466197859268188
56,Croatia,0.05444,0.18434,0.248002976179123,0.12,0.119,0.1451565952358246
58,Russia,0.00199,0.02736,0.0522638224065304,0.065,0.082,0.04572276448130608
59,Jamaica,0.2123,0.22245,0.233818337321281,0.096,0.107,0.1743136674642562
60,Cyprus,0.30638,0.27906,0.271254301071167,0.202,0.19,0.24973886021423336
61,Algeria,0.07822,0.07044,0.0694366469979286,0.055,0.073,0.06921932939958572
62,Kosovo,0.2831,0.27992,0.319931447505951,0.274,0.262,0.28379028950119023
64,Mauritius,0.37744,0.36951,0.360933750867844,0.245,0.215,0.31357675017356884
65,Estonia,0.0868,0.08423,0.0988908112049103,0.086,0.103,0.09178416224098204
66,Indonesia,0.51535,0.56521,0.611704587936401,0.484,0.498,0.5348529175872802
67,Vietnam,0.1686,0.25075,0.234968051314354,0.177,0.147,0.19566361026287082
68,Turkey,0.12253,0.04707,0.0466930419206619,0.106,0.083,0.08105860838413238
69,Kyrgyzstan,0.3003,0.38432,0.42858037352562,0.281,0.3,0.338840074705124
70,Nigeria,0.27233,0.23219,0.230947196483612,0.201,0.215,0.23029343929672247
73,Pakistan,0.33671,0.31185,0.315446019172668,0.216,0.22,0.2800012038345336
74,Jordan,0.11053,0.14262,0.172170460224152,0.13,0.11,0.13306409204483038
75,Montenegro,0.1614,0.17191,0.197911024093628,0.111,0.142,0.1568442048187256
76,China,0.08185,0.04959,0.0288068410009146,0.029,0.058,0.04944936820018292
77,Zambia,0.19591,0.17866,0.249580144882202,0.221,0.247,0.2184300289764404
78,Romania,0.13748,0.12889,0.133519917726517,0.088,0.083,0.1141779835453034
79,Serbia,0.19231,0.20737,0.220125883817673,0.134,0.137,0.1781611767635346
80,Portugal,0.13719,0.11691,0.0951027125120163,0.055,0.047,0.09024054250240325
81,Latvia,0.18226,0.17445,0.153074786067009,0.092,0.075,0.13535695721340177
82,Philippines,0.24991,0.21674,0.193513423204422,0.12,0.117,0.1794326846408844
83,Morocco,0.07172,0.04053,0.0322099551558495,0.026,0.036,0.0412919910311699
84,Albania,0.14272,0.1684,0.201312944293022,0.149,0.178,0.16788658885860439
85,Bosnia and Herzegovina,0.24808,0.29889,0.328867495059967,0.216,0.263,0.2709674990119934
86,Dominican Republic,0.21684,0.21286,0.186967849731445,0.12,0.113,0.169933569946289
87,Mongolia,0.3323,0.34539,0.338464230298996,0.253,0.235,0.30083084605979915
88,Greece,0.0,0.0,0.0,0.0,0.0,0.0
89,Lebanon,0.21854,0.23693,0.264450758695602,0.214,0.166,0.2199841517391204
90,Hungary,0.128,0.099,0.0784016624093056,0.061,0.081,0.08948033248186113
91,Honduras,0.23027,0.2044,0.236188873648643,0.197,0.246,0.2227717747297286
92,Tajikistan,0.22974,0.25998,0.248997643589973,0.187,0.23,0.2311435287179946
93,Tunisia,0.06431,0.03936,0.0496933571994305,0.04,0.059,0.050472671439886097
95,Bangladesh,0.21222,0.19132,0.172255352139473,0.153,0.166,0.1789590704278946
96,Iran,0.38086,0.38538,0.387242913246155,0.282,0.27,0.34109658264923104
97,Ukraine,0.15275,0.20363,0.270061463117599,0.187,0.187,0.20008829262351982
98,Iraq,0.17922,0.19589,0.19963726401329,0.148,0.148,0.174149452802658
99,South Africa,0.11973,0.13656,0.139362379908562,0.103,0.13,0.12573047598171241
100,Ghana,0.23087,0.21203,0.256923943758011,0.212,0.245,0.2313647887516022
101,Zimbabwe,0.18987,0.18503,0.189143493771553,0.132,0.151,0.1694086987543106
103,India,0.26475,0.25028,0.231538489460945,0.172,0.2,0.22371369789218898
106,Nepal,0.32296,0.3816,0.394096165895462,0.302,0.285,0.33713123317909244
107,Ethiopia,0.24325,0.29522,0.312650740146637,0.22,0.209,0.2560241480293274
108,Sierra Leone,0.21488,0.23897,0.293040901422501,0.238,0.252,0.24737818028450018
110,Kenya,0.37542,0.41328,0.444860309362411,0.352,0.372,0.39151206187248216
111,Armenia,0.07855,0.07793,0.0834880918264389,0.077,0.095,0.08239361836528777
113,Myanmar,0.79588,0.81971,0.838075160980225,0.598,0.566,0.7235330321960449
114,Georgia,0.05547,0.06786,0.0540088154375553,0.038,0.043,0.051667763087511066
115,Malawi,0.33128,0.30968,0.287170469760895,0.21,0.218,0.271226093952179
116,Sri Lanka,0.40828,0.46978,0.490863561630249,0.307,0.244,0.3839847123260498
117,Cameroon,0.20618,0.2268,0.236298456788063,0.183,0.187,0.20785569135761262
118,Bulgaria,0.11921,0.12793,0.113177694380283,0.064,0.081,0.1010635388760566
119,Egypt,0.11291,0.12706,0.128631442785263,0.092,0.076,0.1073202885570526
121,Mali,0.18798,0.21064,0.183354198932648,0.139,0.153,0.1747948397865296
123,Uganda,0.29066,0.27102,0.325766056776047,0.259,0.252,0.2796892113552094
124,Senegal,0.20843,0.19103,0.183468893170357,0.138,0.153,0.1747857786340714
125,Gabon,0.06822,0.06244,0.0437853783369064,0.032,0.043,0.04988907566738128
127,Cambodia,0.40359,0.40339,0.385922968387604,0.256,0.232,0.3361805936775208
128,Tanzania,0.34377,0.31472,0.354256361722946,0.27,0.276,0.3117492723445892
131,Guinea,0.28657,0.29914,0.264815092086792,0.185,0.207,0.24850501841735842
132,Ivory Coast,0.20165,0.20338,0.201237469911575,0.146,0.154,0.181253493982315
133,Burkina Faso,0.21747,0.24353,0.250864684581757,0.175,0.177,0.2127729369163514
134,Afghanistan,0.3651,0.31268,0.311870932579041,0.191,0.158,0.2677301865158082
136,Benin,0.1826,0.2018,0.207948461174965,0.163,0.175,0.186069692234993
139,Togo,0.16681,0.17517,0.196896150708199,0.158,0.177,0.1747752301416398
