Index,Country,Rank (2022),Happiness Score (2022),Family (2022),Health (2022),Freedom (2022),Perceptions of Corruption (2022),Generosity (2022)
1,Iceland,3.0,7.557,1.32,0.8029999999999999,0.718,0.191,0.27
2,Denmark,2.0,7.636,1.243,0.777,0.7190000000000001,0.532,0.188
3,Norway,8.0,7.365,1.239,0.7859999999999999,0.728,0.474,0.217
4,Canada,15.0,7.025,1.188,0.7829999999999999,0.659,0.368,0.217
6,Netherlands,5.0,7.415,1.206,0.787,0.6509999999999999,0.419,0.271
7,Sweden,7.0,7.383999999999999,1.204,0.8029999999999999,0.7240000000000001,0.512,0.218
8,New Zealand,10.0,7.2,1.235,0.752,0.68,0.483,0.245
9,Australia,12.0,7.162000000000001,1.203,0.772,0.6759999999999999,0.341,0.258
12,Austria,11.0,7.1629999999999985,1.165,0.774,0.623,0.329,0.193
14,United States,16.0,6.977,1.182,0.628,0.574,0.177,0.22
16,Ireland,13.0,7.041,1.166,0.779,0.627,0.408,0.19
19,United Kingdom,17.0,6.943,1.143,0.75,0.597,0.329,0.289
21,Singapore,27.0,6.48,1.127,0.851,0.672,0.5870000000000001,0.163
23,Germany,14.0,7.034,1.088,0.7759999999999999,0.585,0.358,0.163
32,Malta,33.0,6.447,1.169,0.789,0.679,0.166,0.174
39,Bahrain,21.0,6.647,1.029,0.625,0.693,0.155,0.199
47,Nicaragua,45.0,6.165,1.029,0.617,0.617,0.212,0.168
